read11423 40686 0.016782734945985187 0.068 0.0 0.19 0.0 read12604
read9486 40686 0.01460124518233027 0.002 0.014 0.0 0.05 read5400
read430 40686 0.007723907214719701 0.0 0.044 0.0 0.05 read9828
read9181 40400 0.021866719496793047 0.02 0.034 0.04 0.06 read5030
read17587 40400 0.030747033508296225 0.014 0.048 0.03 0.02 read12003
read9196 39797 0.05715038188043192 0.158 0.0 0.58 0.0 read3830
read3378 39797 0.012249723312204447 0.022 0.0 0.01 0.0 read11735
read4374 39797 0.02110066301963849 0.0 0.132 0.01 0.18 read1600
read5429 39797 0.024318404954308585 0.024 0.02 0.0 0.0 read5373
read15013 39797 0.0017350633675316837 0.0 0.0 0.0 0.0 read14948
read13177 39797 0.0168183417969732 0.006 0.0 0.01 0.0 read15997
read2574 39771 0.02600131652235556 0.008 0.0 0.01 0.0 read4247
read12420 39771 0.01989974558553112 0.024 0.0 0.02 0.0 read5180
read14038 39771 0.022541241657222013 0.0 0.01 0.0 0.02 read9486
read3327 39746 0.01988972532037564 0.02 0.0 0.0 0.0 read7245
read3135 39617 0.006692257184706298 0.014 0.0 0.02 0.01 read17127
read7406 39617 0.015168040583386177 0.006 0.01 0.02 0.0 read15120
read1007 39617 0.020837542937967267 0.03 0.03 0.05 0.02 read9276
read4245 39515 0.027948418540894554 0.03 0.038 0.06 0.04 read16658
read4647 39515 0.025581099961895084 0.01 0.054 0.03 0.05 read16545
read7326 39515 0.02190538897893031 0.016 0.05 0.01 0.04 read430
read8453 39515 0.02185031395584363 0.004 0.0 0.02 0.0 read15013
read16392 39485 0.03239236393176279 0.012 0.02 0.0 0.04 read12531
read1731 39485 0.022311343503312434 0.062 0.0 0.0 0.0 read10225
read3340 39485 0.010794101251710334 0.038 0.0 0.0 0.0 read14707
read2647 39451 0.021239881239373714 0.052 0.058 0.08 0.01 read259
read10140 39451 0.027573201498432762 0.01 0.02 0.0 0.02 read17592
read13734 39451 0.027269255251432208 0.012 0.046 0.0 0.01 read9605
read14428 39451 0.029328576888775642 0.004 0.056 0.02 0.01 read9828
read565 39451 0.021389967268021618 0.0 0.022 0.0 0.01 read14835
read16279 39451 0.019425847027794686 0.0 0.01 0.0 0.01 read6417
read12326 39351 0.02938915650302347 0.016 0.01 0.04 0.03 read3437
read3825 39351 0.027469301268795793 0.0 0.074 0.01 0.03 read498
read7157 39351 0.003177427554651754 0.006 0.0 0.04 0.0 read9276
read6593 39338 0.02891117405394371 0.018 0.01 0.08 0.02 read12003
read12497 39338 0.019639268360935155 0.072 0.018 0.04 0.0 read15232
read4743 39338 0.020093326873549738 0.01 0.0 0.02 0.0 read5291
read3299 39089 0.008857713378731247 0.0 0.00597609561752988 0.0 0.02 read12641
read13322 39089 0.02111897106109325 0.02 0.0 0.03 0.0 read4650
read12523 39089 0.025797762121840033 0.002 0.032 0.04 0.04 read12309
read4369 39089 0.023417106003992424 0.012 0.004 0.02 0.06 read9397
